"","sgUF","txNomeParlamentar","total.passageiros","total.vlrLiquido","gasto.medio.bilhete","quantidade.bilhetes"
"505","SP","MISSIONÁRIO JOSÉ OLIMPIO",1,21247.74,482.903181818182,44
"506","SP","NELSON MARQUEZELLI",1,24130.33,689.438,35
"507","SP","ORLANDO SILVA",1,27084.68,644.873333333333,42
"508","SP","RICARDO TRIPOLI",1,37564.84,782.600833333333,48
"509","SP","ROBERTO ALVES",1,19304.99,338.684035087719,57
"510","SP","ROBERTO DE LUCENA",1,8214.7,631.9,13
"511","SP","ROBERTO FREIRE",1,25753.89,1226.37571428571,21
"512","SP","SAMUEL MOREIRA",1,22379.05,678.15303030303,33
"513","SP","SÉRGIO REIS",1,32949.3,366.103333333333,90
"514","SP","VANDERLEI MACRIS",1,28154.24,469.237333333333,60
"515","SP","VICENTE CANDIDO",1,39570.56,899.330909090909,44
"516","TO","CARLOS HENRIQUE GAGUIM",1,5086.51,391.27,13
"517","TO","IRAJÁ ABREU",1,18227.08,759.461666666667,24
